ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
D1,6535.234497443726,6526.959371793396,6519.839033764245,6512.718695735094,6510.597865592376,6511.611863016685,6507.0120765059655,6498.3927586553655,6503.903166505943,6501.907634633978,6498.808683571062,6491.053785421106,6487.862599689013,6497.111960077973
D2,5572.144037643297,5574.9091294673935,5574.82620129162,5574.602088464703,5574.39179658685,5574.287187476043,5574.181291224536,5574.0716645074435,5573.958110859485,5573.842419431534,5573.724436591442,5573.603937229661,5573.480664037651,5573.354374569494
D3,1560.1446519313224,1559.1542164902119,1558.3826505613702,1558.366265912852,1558.5283558584501,1558.590549487309,1558.8545362796658,1557.8723957082275,1557.3047228214425,1557.7339520913836,1557.8939646521928,1558.7229487548846,1559.671744890085,1559.5629058577524
D4,7137.0,7137.0,7137.0,7137.0,7137.0,7137.0,7137.0,7137.0,7137.0,7137.0,7137.0,7137.0,7137.0,7137.0
D5,1919.7195307999998,1923.4462823251417,1927.1802685930195,1930.921503648439,1934.6700015634717,1938.4257764375068,1942.1888423973048,1945.9592135970506,1949.7369042184064,1953.5219284705654,1957.3143005903053,1961.114034842041,1964.9211455178797,1968.7356469376734
D6,5484.233697425821,5495.835298538541,5493.359259223066,5496.984294204836,5515.890836041954,5513.778393616907,5500.715278715777,5517.336741965214,5530.955989047173,5531.026566243153,5527.703599870833,5533.9665688778505,5531.923782455827,5528.645527402685
D7,5000.601310754142,5001.397297719993,5001.823340229739,5001.989914288363,5001.843108977477,5001.778156549016,5001.791672357035,5001.734739536781,5001.652809196487,5001.575758907491,5001.479312080623,5001.360365900527,5001.226208128459,5001.081272090591
D8,17771.7213735,17776.542747,17781.3641205,17786.185493999998,17791.006867499997,17795.828240999996,17800.649614499995,17805.470987999994,17810.292361499993,17815.11373499999,17819.93510849999,17824.75648199999,17829.57785549999,17834.399228999988
D9,9895.873801076286,9892.232278066203,9895.010540231227,9887.829183571563,9892.501108620218,9896.786670777268,9916.733503510583,9919.623813067572,9913.738418619469,9922.75006613347,9947.20797454339,10179.71573370323,10176.89247626804,10179.794931461747
D10,1187.8976809,1189.2953618000001,1190.6930427000002,1192.0907236000003,1193.4884045000003,1194.8860854000004,1196.2837663000005,1197.6814472000005,1199.0791281000006,1200.4768090000007,1201.8744899000008,1203.2721708000008,1204.669851700001,1206.067532600001
