ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48
H1,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
H2,11.6250324,34.8750972,90.0940011,269.3132506,467.9075541,295.4695735,203.43806700000002,242.188175,301.28208970000003,302.2508424,233.4694007,267.3757452,394.2823489,446.59499470000003,212.1568413,95.9065173,68.7814417,66.8439363,54.250151200000005,28.093828300000002,13.562537800000001,10.6562797,15.5000432,12.5937851,11.26178152508748,33.78534457526244,87.27880681942797,260.89793866452663,453.2867063847711,286.2369470959735,197.0811766890309,234.6204484393225,291.86783785851725,292.8063196522745,226.1741122955069,259.02097507701205,381.962090059217,432.6401069221107,205.5275128328465,92.90969758197171,66.6322073567676,64.75524376925301,52.554980450408245,27.215972018961413,13.138745112602061,10.323299731330192,15.01570870011664,12.20026331884477
H3,18.09998044,17.59998044,16.99998044,16.59998044,16.299980440000002,15.99998044,16.39998044,18.299980440000002,20.09998044,21.799980440000002,23.09998044,24.19998044,24.99998044,25.59998044,26.09998044,26.39998044,26.39998044,26.09998044,25.49998044,24.59998044,22.89998044,20.799980440000002,19.59998044,18.99998044,18.29996088,17.79996088,17.199960880000003,16.79996088,16.499960880000003,16.19996088,16.59996088,18.499960880000003,20.29996088,21.999960880000003,23.29996088,24.399960880000002,25.199960880000003,25.79996088,26.29996088,26.59996088,26.59996088,26.29996088,25.699960880000003,24.79996088,23.09996088,20.999960880000003,19.79996088,19.199960880000003
H4,18.500001976,18.000001976,17.600001976,17.300001976,16.900001976000002,16.600001976,16.700001976000003,17.800001976,19.600001976,21.500001976,23.200001976000003,24.300001976,25.200001976000003,25.800001976,26.200001976000003,26.300001976,26.200001976000003,25.800001976,25.100001976,24.000001976,22.400001976000002,21.200001976000003,20.200001976000003,19.300001976,18.600003952,18.100003952,17.700003952000003,17.400003952000002,17.000003952000004,16.700003952000003,16.800003952000004,17.900003952000002,19.700003952000003,21.600003952,23.300003952000004,24.400003952000002,25.300003952000004,25.900003952000002,26.300003952000004,26.400003952000002,26.300003952000004,25.900003952000002,25.200003952000003,24.100003952,22.500003952000004,21.300003952000004,20.300003952000004,19.400003952000002
H5,19.49999966,18.99999966,18.49999966,17.99999966,17.69999966,17.39999966,17.39999966,18.49999966,19.89999966,21.29999966,22.49999966,23.49999966,24.49999966,25.19999966,25.599999659999998,25.89999966,25.99999966,25.599999659999998,24.99999966,23.89999966,22.599999659999998,21.599999659999998,20.89999966,20.29999966,19.69999932,19.19999932,18.69999932,18.19999932,17.89999932,17.59999932,17.59999932,18.69999932,20.09999932,21.49999932,22.69999932,23.69999932,24.69999932,25.39999932,25.799999319999998,26.09999932,26.19999932,25.799999319999998,25.19999932,24.09999932,22.799999319999998,21.799999319999998,21.09999932,20.49999932
H6,18.49999841,18.099998409999998,17.599998409999998,17.29999841,17.099998409999998,18.099998409999998,19.29999841,20.79999841,22.19999841,23.599998409999998,24.89999841,25.69999841,26.39999841,26.599998409999998,26.79999841,26.599998409999998,26.29999841,25.49999841,24.39999841,22.69999841,21.39999841,20.49999841,19.79999841,19.099998409999998,18.69999682,18.299996819999997,17.799996819999997,17.49999682,17.299996819999997,18.299996819999997,19.49999682,20.99999682,22.39999682,23.799996819999997,25.099996819999998,25.89999682,26.599996819999998,26.799996819999997,26.99999682,26.799996819999997,26.49999682,25.69999682,24.599996819999998,22.89999682,21.599996819999998,20.69999682,19.99999682,19.299996819999997
H7,40.36870783,39.74713589911959,39.13513454124057,38.53255639470931,37.9392563668541,37.3550915990488,36.77992143231435,36.21360737345008,35.656013061686345,35.10700423585073,34.56644870203977,34.03421630178845,33.51017888072978,32.994210257737,32.48618619454083,31.98598436581459,31.49348432971993,31.008567498906032,30.531117111955403,30.061018205269296,29.59815758538603,29.142423801725535,28.69370711975356,28.251899494559083,27.816894544838544,27.388587527280684,26.96687531134576,26.551656354433106,26.14283067743105,25.740299840643296,25.343966920085972,24.953736484149648,24.569514570620697,24.19120866405646,23.81872767350878,23.451981910590526,23.090883067879858,22.73534419765698,22.3852796909683,22.040605257012977,21.701237902846803,21.367095913398646,21.03809883179456,20.714167439984852,20.395223739669454,20.081190933516982,19.771993406672976,19.467556708552873
H8,59.7651594,61.23566665,66.01035681097886,85.05764115749722,103.58298655437096,114.74188930637135,113.68812776540034,107.88200949465703,90.62174602106752,76.24547614977513,65.47496754344743,62.46175815185815,64.38077965862732,79.53825131661651,87.66110406688371,68.68031077420238,87.60247335953099,96.22543647438745,100.75387138576302,99.21706294176278,94.58382652409637,95.40229234818267,87.58395042089747,77.10301794699417,69.35394948496176,66.09158176050101,70.71006025174661,81.73633676416071,94.68616153527798,104.0832295988395,107.96414761767241,104.00510577829849,94.67659850751627,83.34482898394614,73.87039772382857,68.29304331938079,69.95996727940742,75.65614202893612,75.27979319525338,78.79322656176176,84.95337062133784,91.41202810701161,95.60700070080244,96.53983121437477,96.47962619104219,93.84568866365336,88.14700008299688,80.94394407752188
H9,21.6379064,21.28177242614368,20.931499990136267,20.586992618098613,20.24815542399585,19.91489508350339,19.587119808303022,19.264739320802125,18.947664829268906,18.635809003376934,18.329085950152155,18.027411190315792,17.730701635016622,17.43887556294621,17.151852597830793,16.869553686293614,16.591901076081644,16.318818294650633,16.050230128102637,15.78606260047022,15.526242953341601,15.270699625821143,15.019362234819678,14.772161555669227,14.529029503056778,14.289899112271867,14.054704520762806,13.823380949996475,13.595864687616674,13.372093069896128,13.15200446447732,12.93553825339738,12.722634816392365,12.513235514476326,12.307282673790663,12.104719569719277,11.905490411265182,11.709540325684252,11.51681534337188,11.327262382998391,11.140829236889097,10.957464556644986,10.777117839000077,10.599739411911543,10.425280420878773,10.253692815487613,10.084929336176065,9.91894350121781
H10,14.1847935,13.41389110917615,12.684885027676643,11.995498312588998,11.343577766244893,10.727087211025005,10.144101129658708,9.592798651155034,9.071457863580846,8.578450435923033,8.11223653223688,7.671360002195749,7.254443833020417,6.860185848582874,6.487354642251356,6.134785730773458,5.801377917184539,5.48608985138152,5.187936777619504,4.905987458772539,4.639361267751882,4.387225436997244,4.14879245745021,3.923317618885918,3.7100966839205634,3.508463688429864,3.3177888615083977,3.1374766584731146,2.9669639007674107,2.805718016956014,2.653235379316704,2.509039730833441,2.372680697677863,2.2437323825330946,2.1217920343663303,2.00647879049542,1.8974324870204866,1.7943125339051356,1.69679685119374,1.6045808630422287,1.5173765464203863,1.434911531514423,1.3569282510200555,1.2831831356690435,1.2134458534765244,1.1474985903330504,1.085135369694361,1.0261614092440448
