ID,F1,F2,F3,F4,F5,F6,F7,F8
Q1,3496.7383086483314,3504.7918170385706,3525.6277997537823,3540.73983986791,3556.9656642007308,3564.899065335784,3585.8342501119278,3600.9473177482723
Q2,5569.904721915934,5578.7968698099685,5587.689017704003,5596.581165598038,5605.4733134920725,5614.365461386107,5623.257609280142,5632.149757174177
Q3,1272.476850229162,1264.4993599343952,1271.6486888967656,1280.5715107185395,1285.031325488154,1276.9444315994529,1284.1334051955953,1293.113046577969
Q4,12673.652981403955,12646.20346050007,12706.942870779341,12796.634250589785,12810.079706497756,12781.969336530368,12842.995671445975,12933.281604148238
Q5,10423.327722797336,10438.718650216691,10454.109577636045,10469.500505055401,10484.891432474755,10500.28235989411,10515.673287313466,10531.06421473282
Q6,3654.2488995437934,3566.617908908083,3628.664518941249,3636.9785887899766,3701.067964665464,3612.168325351696,3674.8598585992004,3683.132878362013
Q7,5977.890631842456,6592.377553603613,6416.666323089089,6786.366475589473,6160.894717532038,6792.660388500318,6610.141389965128,6989.45782613448
Q8,1226.8254406442009,1160.7796937163976,1094.7339467885943,1028.688199860791,962.6424529329875,896.5967060051842,830.5509590773809,764.5052121495775
Q9,1217.7476102007233,1184.9911332697081,1210.4369971282008,1205.7322076174955,1231.6680127456923,1198.4984861089492,1224.1951932444476,1219.3980950000234
Q10,3210.020460400242,3248.160874905889,3248.8558747905827,3345.362563320141,3319.1241031478776,3357.630674102423,3357.4342673354963,3456.239864043091
