ID,F1,F2,F3,F4,F5,F6
Y1,1892.4938277772712,1920.860972162298,1949.2281165473248,1977.5952609323515,2005.9624053173782,2034.3295497024048
Y2,5190.324701203823,5191.140336940302,5191.955972676782,5192.771608413262,5193.587244149741,5194.402879886221
Y3,6027.544821441869,6122.038589738279,6216.5323580346885,6311.026126331098,6405.519894627508,6500.013662923917
Y4,1331.3590817915747,1348.721719154212,1366.0843565168493,1383.4469938794869,1400.8096312421242,1418.1722686047615
Y5,3375.250495772614,3400.4922540143725,3425.7340122561304,3450.975770497889,3476.2175287396467,3501.459286981405
Y6,4384.164786670118,4390.058559859534,4395.952333048952,4401.846106238369,4407.739879427787,4413.633652617204
Y7,8197.747221413552,8273.727394888961,8349.707568364369,8425.687741839778,8501.667915315185,8577.648088790593
Y8,9064.80752277822,9145.67482877822,9226.54213477822,9307.40944077822,9388.27674677822,9469.14405277822
Y9,2688.3314496484863,2557.638983188218,2426.9465167279495,2296.254050267681,2165.5615838074127,2034.8691173471443
Y10,4231.2737880087825,4236.569450308048,4241.865112607313,4247.160774906578,4252.456437205842,4257.752099505107
